Country,Rank BII,Rank PISA
South Korea,1,9
Sweden,2,25
Germany,3,13
Switzerland,4,15
Finland,5,8
Singapore,6,1
Japan,7,3
Denmark,8,18
United States,9,31
Israel,10,39
Ireland,12,12
France,13,26
Austria,14,27
Norway,15,17
Netherlands,16,14
United Kingdom,17,23
New Zealand,18,16
Poland,19,19
Belgium,20,20
Australia,21,21
Canada,22,7
Malaysia,23,46
Italy,24,33
Iceland,25,35
Russia,26,28
Hungary,27,38
Czech Republic,28,30
Spain,29,29
Greece,30,43
Portugal,31,24
Lithuania,32,37
Estonia,33,5
Luxembourg,34,34
Hong Kong,35,2
Slovakia,36,42
Turkey,37,52
Romania,38,49
Latvia,39,32
Malta,40,41
Croatia,41,36
Thailand,42,59
Tunisia,43,69
Brazil,44,66
Cyprus,45,48
Kazakhstan,46,44
Argentina,47,54
