Country,Score
Singapore,564.1896782
Hong Kong (China),547.9310494
Macao (China),543.8077757
Chinese Taipei,542.3214667
Japan,532.4398722
B-S-J-G (China),531.296133
Korea,524.1062163
Switzerland,521.2505752
Estonia,519.5291323
Canada,515.647428
Netherlands,512.2527898
Denmark,511.0876318
Finland,511.076853
Slovenia,509.9196321
Belgium,506.9843624
Germany,505.9712824
Poland,504.4692514
Ireland,503.7219974
Norway,501.7298149
Austria,496.7422739
New Zealand,495.2232564
Viet Nam,494.5183114
Russia,494.0600303
Sweden,493.9181221
Australia,493.8962313
France,492.9204018
United Kingdom,492.4785307
Czech Republic,492.325438
Portugal,491.6269679
Italy,489.7287308
Iceland,488.0331844
Spain,485.8432173
Luxembourg,485.7706282
Latvia,482.3050717
Malta,478.6447937
Lithuania,478.3833818
Hungary,476.8308808
Slovak Republic,475.2301053
Israel,469.6694541
United States,469.6284918
Croatia,464.0400992
Kazakhstan (2015),459.8159944
CABA (Argentina),456.2955894
Greece,453.6298507
Malaysia (2015),446.1097772
Romania,443.9543153
Bulgaria,441.1899194
Cyprus,437.1285236
United Arab Emirates,427.4827391
Chile,422.6713579
Turkey,420.4539795
Moldova,419.6635215
Uruguay,417.9918829
Montenegro,417.9341247
Trinidad and Tobago,417.2433959
Thailand,415.4637999
Albania (2015),413.1570211
Argentina (2015),409.0333278
Mexico,408.0234776
Georgia,403.8332295
Qatar,402.400635
Costa Rica,400.2533729
Lebanon,396.2496525
Colombia,389.6438278
Peru,386.560588
Indonesia,386.1095915
Jordan,380.2590104
Brazil,377.0695234
FYROM,371.3114287
Tunisia,366.8179855
Kosovo,361.5339806
Algeria,359.606217
Dominican Republic,327.7020252
