Country,Score
Singapore,535.100154
Hong Kong (China),526.67534
Canada,526.6678054
Finland,526.4247471
Ireland,520.8148413
Estonia,519.142855
Korea,517.4367097
Japan,515.9584799
Norway,513.1911728
New Zealand,509.2707126
Germany,509.1041387
Macao (China),508.6905185
Poland,505.6970704
Slovenia,505.2158806
Netherlands,502.9590512
Australia,502.9005598
Sweden,500.1556066
Denmark,499.8145841
France,499.3061419
Belgium,498.5241892
Portugal,498.1289056
United Kingdom,497.9719311
Chinese Taipei,497.0990919
United States,496.9350973
Spain,495.5764353
Russia,494.6278325
B-S-J-G (China),493.9412123
Switzerland,492.1982286
Latvia,487.7580985
Czech Republic,487.2501413
Croatia,486.8631863
Viet Nam,486.773764
Austria,484.8655971
Italy,484.7579961
Iceland,481.525541
Luxembourg,481.4390973
Israel,478.9606427
CABA (Argentina),475.3323102
Lithuania,472.4065522
Hungary,469.5232579
Greece,467.0395379
Chile,458.5708761
Slovak Republic,452.5143369
Malta,446.6661425
Cyprus,442.8314332
Uruguay,436.5721315
Romania,433.616598
United Arab Emirates,433.5422904
Bulgaria,431.7175328
Malaysia (2015),430.5781963
Turkey,428.3350926
Costa Rica,427.4875482
Trinidad and Tobago,427.273253
Kazakhstan (2015),427.1410203
Montenegro,426.8844776
Argentina (2015),425.3031194
Colombia,424.905167
Mexico,423.2764792
Moldova,416.2292623
Thailand,409.1301154
Jordan,408.1021974
Brazil,407.3485923
Albania (2015),405.2587601
Qatar,401.887331
Georgia,401.2881351
Peru,397.5414392
Indonesia,397.2594943
Tunisia,361.055509
Dominican Republic,357.7376964
FYROM,351.7415486
Algeria,349.8592525
Kosovo,347.1259029
Lebanon,346.5489769
