Country,Score
Singapore,555.5746796
Japan,538.3947511
Estonia,534.1937421
Chinese Taipei,532.3474544
Finland,530.6611589
Macao (China),528.5496002
Canada,527.7046842
Viet Nam,524.6445195
Hong Kong (China),523.2774478
B-S-J-G (China),517.7792811
Korea,515.8099115
New Zealand,513.3035122
Slovenia,512.8635786
Australia,509.9938542
United Kingdom,509.2215029
Germany,509.1406472
Netherlands,508.5748061
Switzerland,505.5058155
Ireland,502.5751155
Belgium,501.9997137
Denmark,501.936887
Poland,501.4353318
Portugal,501.1000622
Norway,498.4811091
United States,496.2424342
Austria,495.0374864
France,494.9776004
Sweden,493.4223562
Czech Republic,492.8300483
Spain,492.7861361
Latvia,490.2250184
Russia,486.631041
Luxembourg,482.8063836
Italy,480.5467624
Hungary,476.7475124
Lithuania,475.4089465
Croatia,475.3911767
CABA (Argentina),475.1865982
Iceland,473.2300862
Israel,466.5528122
Malta,464.7819647
Slovak Republic,460.7748558
Kazakhstan (2015),456.4835759
Greece,454.8288166
Chile,446.9560664
Bulgaria,445.7719579
Malaysia (2015),442.9475209
United Arab Emirates,436.731148
Uruguay,435.3629563
Romania,434.8848618
Cyprus,432.5767656
Argentina (2015),432.226248
Moldova,427.9978057
Albania (2015),427.2249827
Turkey,425.4895089
Trinidad and Tobago,424.5904546
Thailand,421.337326
Costa Rica,419.6080331
Qatar,417.6111299
Colombia,415.7287606
Mexico,415.7098829
Montenegro,411.3136482
Georgia,411.1315239
Jordan,408.6691133
Indonesia,403.0997454
Brazil,400.6821031
Peru,396.6836485
Lebanon,386.4853723
Tunisia,386.4033666
FYROM,383.6823876
Kosovo,378.4421851
Algeria,375.7451021
Dominican Republic,331.6388272
